FM: initial setting 0
L:1.96444e+14 diff_v:0.0374018 diff_w:0.00246286 diff:0.0398647 step69
L:1.92704e+14 diff_v:0.036597 diff_w:0.00234484 diff:0.0389419 step70
L:1.89114e+14 diff_v:0.0358494 diff_w:0.00223376 diff:0.0380832 step71
L:1.85668e+14 diff_v:0.0351581 diff_w:0.00212922 diff:0.0372874 step72
L:1.82361e+14 diff_v:0.0345223 diff_w:0.00203084 diff:0.0365532 step73
L:1.79188e+14 diff_v:0.0339411 diff_w:0.00193828 diff:0.0358794 step74
L:1.76142e+14 diff_v:0.0334136 diff_w:0.0018512 diff:0.0352648 step75
L:1.7322e+14 diff_v:0.0329388 diff_w:0.00176926 diff:0.034708 step76
L:1.70416e+14 diff_v:0.0325157 diff_w:0.00169218 diff:0.0342078 step77
L:1.67726e+14 diff_v:0.0321431 diff_w:0.00161968 diff:0.0337628 step78
L:1.65146e+14 diff_v:0.0318201 diff_w:0.00155147 diff:0.0333716 step79
L:1.62671e+14 diff_v:0.0315453 diff_w:0.00148732 diff:0.0330326 step80
L:1.60297e+14 diff_v:0.0313174 diff_w:0.00142697 diff:0.0327444 step81
L:1.58021e+14 diff_v:0.0311352 diff_w:0.00137022 diff:0.0325054 step82
L:1.55838e+14 diff_v:0.0309972 diff_w:0.00131686 diff:0.0323141 step83
L:1.53746e+14 diff_v:0.030902 diff_w:0.00126668 diff:0.0321687 step84
L:1.51739e+14 diff_v:0.030848 diff_w:0.0012195 diff:0.0320675 step85
L:1.49816e+14 diff_v:0.0308338 diff_w:0.00117517 diff:0.0320089 step86
L:1.47973e+14 diff_v:0.0308576 diff_w:0.0011335 diff:0.0319911 step87
L:1.46206e+14 diff_v:0.0309181 diff_w:0.00109437 diff:0.0320125 step88
L:1.44513e+14 diff_v:0.0310135 diff_w:0.00105763 diff:0.0320711 step89
L:1.42891e+14 diff_v:0.0311423 diff_w:0.00102314 diff:0.0321654 step90
L:1.41337e+14 diff_v:0.0313028 diff_w:0.000990806 diff:0.0322936 step91
L:1.39848e+14 diff_v:0.0314935 diff_w:0.0009605 diff:0.032454 step92
L:1.38423e+14 diff_v:0.0317128 diff_w:0.000932125 diff:0.0326449 step93
L:1.37057e+14 diff_v:0.0319592 diff_w:0.000905587 diff:0.0328648 step94
L:1.3575e+14 diff_v:0.0322312 diff_w:0.000880798 diff:0.033112 step95
L:1.34499e+14 diff_v:0.0325274 diff_w:0.000857678 diff:0.0333851 step96
L:1.33301e+14 diff_v:0.0328463 diff_w:0.000836155 diff:0.0336824 step97
L:1.32154e+14 diff_v:0.0331865 diff_w:0.000816159 diff:0.0340027 step98
L:1.31057e+14 diff_v:0.0335468 diff_w:0.000797628 diff:0.0343444 step99
L:1.30008e+14 diff_v:0.0339258 diff_w:0.000780506 diff:0.0347063 step100
L:1.29004e+14 diff_v:0.0343222 diff_w:0.000764739 diff:0.035087 step101
L:1.28044e+14 diff_v:0.034735 diff_w:0.000750279 diff:0.0354852 step102
L:1.27126e+14 diff_v:0.0351628 diff_w:0.000737082 diff:0.0358999 step103
L:1.26248e+14 diff_v:0.0356046 diff_w:0.000725106 diff:0.0363297 step104
L:1.2541e+14 diff_v:0.0360594 diff_w:0.000714314 diff:0.0367737 step105
L:1.24609e+14 diff_v:0.0365259 diff_w:0.000704671 diff:0.0372306 step106
L:1.23843e+14 diff_v:0.0370032 diff_w:0.000696144 diff:0.0376994 step107
L:1.23112e+14 diff_v:0.0374903 diff_w:0.000688702 diff:0.038179 step108
L:1.22415e+14 diff_v:0.0379862 diff_w:0.000682317 diff:0.0386685 step109
L:1.21749e+14 diff_v:0.0384898 diff_w:0.000676962 diff:0.0391668 step110
L:1.21114e+14 diff_v:0.0390004 diff_w:0.00067261 diff:0.039673 step111
L:1.20508e+14 diff_v:0.0395168 diff_w:0.000669238 diff:0.0401861 step112
L:1.1993e+14 diff_v:0.0400383 diff_w:0.000666819 diff:0.0407051 step113
L:1.1938e+14 diff_v:0.0405638 diff_w:0.000665332 diff:0.0412291 step114
L:1.18856e+14 diff_v:0.0410924 diff_w:0.000664753 diff:0.0417571 step115
L:1.18357e+14 diff_v:0.0416232 diff_w:0.000665058 diff:0.0422883 step116
L:1.17882e+14 diff_v:0.0421553 diff_w:0.000666226 diff:0.0428216 step117
L:1.1743e+14 diff_v:0.0426878 diff_w:0.000668232 diff:0.0433561 step118
L:1.17001e+14 diff_v:0.0432198 diff_w:0.000671055 diff:0.0438908 step119
L:1.16593e+14 diff_v:0.0437502 diff_w:0.00067467 diff:0.0444249 step120
L:1.16206e+14 diff_v:0.0442782 diff_w:0.000679054 diff:0.0449573 step121
L:1.15838e+14 diff_v:0.0448028 diff_w:0.000684184 diff:0.045487 step122
L:1.1549e+14 diff_v:0.0453231 diff_w:0.000690035 diff:0.0460132 step123
L:1.1516e+14 diff_v:0.0458381 diff_w:0.000696582 diff:0.0465347 step124
L:1.14848e+14 diff_v:0.0463468 diff_w:0.000703801 diff:0.0470506 step125
L:1.14553e+14 diff_v:0.0468482 diff_w:0.000711667 diff:0.0475599 step126
L:1.14274e+14 diff_v:0.0473414 diff_w:0.000720152 diff:0.0480616 step127
L:1.14011e+14 diff_v:0.0478253 diff_w:0.000729231 diff:0.0485545 step128
L:1.13764e+14 diff_v:0.0482989 diff_w:0.000738877 diff:0.0490378 step129
L:1.13531e+14 diff_v:0.0487612 diff_w:0.000749062 diff:0.0495103 step130
L:1.13312e+14 diff_v:0.0492112 diff_w:0.000759757 diff:0.049971 step131
L:1.13107e+14 diff_v:0.0496478 diff_w:0.000770935 diff:0.0504188 step132
L:1.12914e+14 diff_v:0.0500701 diff_w:0.000782565 diff:0.0508526 step133
L:1.12735e+14 diff_v:0.0504769 diff_w:0.000794618 diff:0.0512715 step134
L:1.12568e+14 diff_v:0.0508673 diff_w:0.000807063 diff:0.0516743 step135
L:1.12412e+14 diff_v:0.0512402 diff_w:0.000819868 diff:0.0520601 step136
L:1.12268e+14 diff_v:0.0515946 diff_w:0.000833001 diff:0.0524276 step137
L:1.12134e+14 diff_v:0.0519296 diff_w:0.00084643 diff:0.052776 step138
L:1.12011e+14 diff_v:0.0522441 diff_w:0.00086012 diff:0.0531042 step139
L:1.11899e+14 diff_v:0.0525371 diff_w:0.000874037 diff:0.0534112 step140
L:1.11796e+14 diff_v:0.0528078 diff_w:0.000888146 diff:0.053696 step141
L:1.11702e+14 diff_v:0.0530552 diff_w:0.000902412 diff:0.0539576 step142
L:1.11618e+14 diff_v:0.0532784 diff_w:0.000916797 diff:0.0541952 step143
L:1.11543e+14 diff_v:0.0534766 diff_w:0.000931264 diff:0.0544078 step144
L:1.11476e+14 diff_v:0.0536489 diff_w:0.000945775 diff:0.0545947 step145
L:1.11417e+14 diff_v:0.0537946 diff_w:0.000960292 diff:0.0547549 step146
L:1.11366e+14 diff_v:0.0539129 diff_w:0.000974777 diff:0.0548877 step147
L:1.11323e+14 diff_v:0.0540032 diff_w:0.000989188 diff:0.0549924 step148
L:1.11287e+14 diff_v:0.0540649 diff_w:0.00100349 diff:0.0550684 step149
L:1.11259e+14 diff_v:0.0540973 diff_w:0.00101763 diff:0.055115 step150
L:1.11237e+14 diff_v:0.0541001 diff_w:0.00103159 diff:0.0551317 step151
L:1.11222e+14 diff_v:0.0540727 diff_w:0.00104531 diff:0.055118 step152
L:1.11214e+14 diff_v:0.0540149 diff_w:0.00105876 diff:0.0550736 step153
L:1.11211e+14 diff_v:0.0539262 diff_w:0.00107189 diff:0.0549981 step154
L:1.11215e+14 diff_v:0.0538066 diff_w:0.00108467 diff:0.0548913 step155
L:1.11224e+14 diff_v:0.0536559 diff_w:0.00109706 diff:0.0547529 step156
L:1.11239e+14 diff_v:0.053474 diff_w:0.00110902 diff:0.054583 step157
L:1.1126e+14 diff_v:0.0532609 diff_w:0.00112051 diff:0.0543814 step158
L:1.11285e+14 diff_v:0.0530168 diff_w:0.00113149 diff:0.0541483 step159
L:1.11316e+14 diff_v:0.0527419 diff_w:0.00114193 diff:0.0538838 step160
L:1.11351e+14 diff_v:0.0524363 diff_w:0.0011518 diff:0.0535881 step161
L:1.11391e+14 diff_v:0.0521006 diff_w:0.00116105 diff:0.0532617 step162
L:1.11436e+14 diff_v:0.0517352 diff_w:0.00116967 diff:0.0529048 step163
L:1.11485e+14 diff_v:0.0513405 diff_w:0.00117761 diff:0.0525181 step164
L:1.11537e+14 diff_v:0.0509171 diff_w:0.00118486 diff:0.052102 step165
L:1.11594e+14 diff_v:0.0504659 diff_w:0.00119138 diff:0.0516573 step166
L:1.11655e+14 diff_v:0.0499874 diff_w:0.00119715 diff:0.0511846 step167
L:1.11719e+14 diff_v:0.0494826 diff_w:0.00120216 diff:0.0506848 step168
L:1.11786e+14 diff_v:0.0489523 diff_w:0.00120637 diff:0.0501587 step169
L:1.11857e+14 diff_v:0.0483976 diff_w:0.00120978 diff:0.0496073 step170
L:1.11931e+14 diff_v:0.0478193 diff_w:0.00121236 diff:0.0490317 step171
L:1.12008e+14 diff_v:0.0472187 diff_w:0.00121412 diff:0.0484328 step172
L:1.12087e+14 diff_v:0.0465967 diff_w:0.00121503 diff:0.0478117 step173
L:1.1217e+14 diff_v:0.0459547 diff_w:0.0012151 diff:0.0471698 step174
L:1.12254e+14 diff_v:0.0452937 diff_w:0.00121431 diff:0.046508 step175
L:1.12341e+14 diff_v:0.0446151 diff_w:0.00121268 diff:0.0458278 step176
L:1.12431e+14 diff_v:0.0439201 diff_w:0.00121019 diff:0.0451303 step177
L:1.12522e+14 diff_v:0.04321 diff_w:0.00120685 diff:0.0444168 step178
L:1.12615e+14 diff_v:0.0424861 diff_w:0.00120268 diff:0.0436888 step179
L:1.1271e+14 diff_v:0.0417497 diff_w:0.00119768 diff:0.0429474 step180
L:1.12806e+14 diff_v:0.0410022 diff_w:0.00119186 diff:0.0421941 step181
L:1.12904e+14 diff_v:0.0402449 diff_w:0.00118523 diff:0.0414301 step182
L:1.13004e+14 diff_v:0.039479 diff_w:0.00117782 diff:0.0406568 step183
L:1.13104e+14 diff_v:0.0387059 diff_w:0.00116964 diff:0.0398756 step184
L:1.13206e+14 diff_v:0.0379269 diff_w:0.00116071 diff:0.0390877 step185
L:1.13309e+14 diff_v:0.0371433 diff_w:0.00115106 diff:0.0382944 step186
L:1.13412e+14 diff_v:0.0363563 diff_w:0.00114071 diff:0.037497 step187
L:1.13516e+14 diff_v:0.035567 diff_w:0.00112969 diff:0.0366967 step188
L:1.13621e+14 diff_v:0.0347768 diff_w:0.00111802 diff:0.0358948 step189
L:1.13726e+14 diff_v:0.0339867 diff_w:0.00110573 diff:0.0350924 step190
L:1.13831e+14 diff_v:0.0331978 diff_w:0.00109286 diff:0.0342906 step191
L:1.13937e+14 diff_v:0.0324112 diff_w:0.00107943 diff:0.0334906 step192
L:1.14043e+14 diff_v:0.031628 diff_w:0.00106547 diff:0.0326934 step193
L:1.14149e+14 diff_v:0.030849 diff_w:0.00105103 diff:0.0319 step194
L:1.14254e+14 diff_v:0.0300753 diff_w:0.00103612 diff:0.0311114 step195
L:1.1436e+14 diff_v:0.0293076 diff_w:0.00102079 diff:0.0303284 step196
L:1.14465e+14 diff_v:0.0285469 diff_w:0.00100507 diff:0.029552 step197
L:1.14571e+14 diff_v:0.0277939 diff_w:0.000988993 diff:0.0287829 step198
L:1.14675e+14 diff_v:0.0270493 diff_w:0.000972591 diff:0.0280219 step199
L:1.14779e+14 diff_v:0.0263138 diff_w:0.000955899 diff:0.0272697 step200
L:1.14883e+14 diff_v:0.025588 diff_w:0.000938949 diff:0.0265269 step201
L:1.14986e+14 diff_v:0.0248725 diff_w:0.000921775 diff:0.0257943 step202
L:1.15088e+14 diff_v:0.0241678 diff_w:0.000904409 diff:0.0250722 step203
L:1.1519e+14 diff_v:0.0234744 diff_w:0.000886881 diff:0.0243613 step204
L:1.1529e+14 diff_v:0.0227927 diff_w:0.000869224 diff:0.0236619 step205
L:1.1539e+14 diff_v:0.0221231 diff_w:0.000851467 diff:0.0229745 step206
L:1.15489e+14 diff_v:0.0214659 diff_w:0.000833638 diff:0.0222995 step207
L:1.15587e+14 diff_v:0.0208214 diff_w:0.000815767 diff:0.0216372 step208
L:1.15684e+14 diff_v:0.0201899 diff_w:0.000797879 diff:0.0209878 step209
L:1.1578e+14 diff_v:0.0195716 diff_w:0.000780002 diff:0.0203516 step210
L:1.15875e+14 diff_v:0.0189667 diff_w:0.000762159 diff:0.0197288 step211
L:1.15969e+14 diff_v:0.0183752 diff_w:0.000744375 diff:0.0191195 step212
L:1.16061e+14 diff_v:0.0177973 diff_w:0.000726673 diff:0.0185239 step213
L:1.16153e+14 diff_v:0.017233 diff_w:0.000709073 diff:0.0179421 step214
L:1.16243e+14 diff_v:0.0166824 diff_w:0.000691596 diff:0.017374 step215
L:1.16332e+14 diff_v:0.0161456 diff_w:0.000674261 diff:0.0168198 step216
L:1.1642e+14 diff_v:0.0156224 diff_w:0.000657085 diff:0.0162794 step217
L:1.16506e+14 diff_v:0.0151128 diff_w:0.000640086 diff:0.0157529 step218
L:1.16592e+14 diff_v:0.0146168 diff_w:0.000623278 diff:0.0152401 step219
L:1.16676e+14 diff_v:0.0141343 diff_w:0.000606677 diff:0.0147409 step220
L:1.16759e+14 diff_v:0.0136651 diff_w:0.000590295 diff:0.0142554 step221
L:1.16841e+14 diff_v:0.0132092 diff_w:0.000574143 diff:0.0137833 step222
L:1.16922e+14 diff_v:0.0127663 diff_w:0.000558234 diff:0.0133246 step223
L:1.17001e+14 diff_v:0.0123365 diff_w:0.000542578 diff:0.012879 step224
L:1.17079e+14 diff_v:0.0119193 diff_w:0.000527182 diff:0.0124465 step225
L:1.17156e+14 diff_v:0.0115148 diff_w:0.000512054 diff:0.0120268 step226
L:1.17232e+14 diff_v:0.0111226 diff_w:0.000497203 diff:0.0116198 step227
L:1.17306e+14 diff_v:0.0107427 diff_w:0.000482633 diff:0.0112253 step228
L:1.17379e+14 diff_v:0.0103746 diff_w:0.00046835 diff:0.010843 step229
 Pr 
